Time,Time Code,Country Name,Country Code,GDP per person employed (constant 2017 PPP $) [SL.GDP.PCAP.EM.KD],CO2 emissions (kt) [EN.ATM.CO2E.KT],"Population, total [SP.POP.TOTL]"
1997,YR1997,Belarus,BLR,17103.6164511199,59170,10117433
1997,YR1997,Bosnia and Herzegovina,BIH,18110.0068881868,8490,4047748
1997,YR1997,Bulgaria,BGR,27456.6264348157,52990,8312068
1997,YR1997,Georgia,GEO,9707.22873027267,5520,4349913
1997,YR1997,Kazakhstan,KAZ,20712.5369983681,132240,15334405
1997,YR1997,Kosovo,XKX,..,..,2086000
1997,YR1997,Moldova,MDA,13290.0656188711,9580,2936413
1997,YR1997,Montenegro,MNE,45954.7834606135,1670,609520
1997,YR1997,North Macedonia,MKD,35204.0333064936,8990,1996869
1997,YR1997,Russian Federation,RUS,31561.7400764953,1489510,147915361
1997,YR1997,Serbia,SRB,21966.1276657852,56310,7596501
1997,YR1997,Turkiye,TUR,45409.4859378561,193430,61277426
1997,YR1997,Turkmenistan,TKM,12013.5236536109,30500,4363672
1998,YR1998,Albania,ALB,13994.3003179433,1790,3128530
1998,YR1998,Armenia,ARM,10158.0235528458,3470,3240550
1998,YR1998,Azerbaijan,AZE,7162.58319178812,26490,7913000
1998,YR1998,Belarus,BLR,17946.9895403342,57260,10071963
1998,YR1998,Bosnia and Herzegovina,BIH,20745.1576194357,10760,4115059
1998,YR1998,Bulgaria,BGR,28498.7318254055,50480,8256786
1998,YR1998,Georgia,GEO,10646.7557072513,4990,4243607
1998,YR1998,Kazakhstan,KAZ,20485.597950892,135840,15071640
1998,YR1998,Kosovo,XKX,..,..,1966000
1998,YR1998,Moldova,MDA,12462.4606502668,8650,2935227
1998,YR1998,Montenegro,MNE,48362.517880914,1760,607662
1998,YR1998,North Macedonia,MKD,35271.0502707588,9840,2007523
1998,YR1998,Russian Federation,RUS,30649.991236934,1487970,147670784
1998,YR1998,Serbia,SRB,22741.2687853754,56210,7567745
1998,YR1998,Turkiye,TUR,45319.9671898417,193690,62242204
1998,YR1998,Turkmenistan,TKM,12874.6941232306,31840,4431517
1999,YR1999,Albania,ALB,16200.8859171416,2970,3108778
1999,YR1999,Armenia,ARM,10704.9613812697,3110,3206030
1999,YR1999,Azerbaijan,AZE,7669.91782071119,26120,7982750
1999,YR1999,Belarus,BLR,18292.6193444852,54950,10026738
1999,YR1999,Bosnia and Herzegovina,BIH,22800.5288939373,10520,4153014
1999,YR1999,Bulgaria,BGR,27141.1282290298,44320,8210624
1999,YR1999,Georgia,GEO,10927.7843586134,4520,4157192
1999,YR1999,Kazakhstan,KAZ,21179.9801743257,122650,14928374
1999,YR1999,Kosovo,XKX,..,..,1762000
1999,YR1999,Moldova,MDA,12025.0227500837,7350,2930622
1999,YR1999,Montenegro,MNE,43100.3787633843,1210,606001
1999,YR1999,North Macedonia,MKD,35437.7101447973,9090,2017142
1999,YR1999,Russian Federation,RUS,30654.8608746292,1523720,147214776
1999,YR1999,Serbia,SRB,20355.4310514777,40010,7540401
1999,YR1999,Turkiye,TUR,43383.7446418462,192650,63185615
1999,YR1999,Turkmenistan,TKM,15075.3022902364,37690,4501079
2000,YR2000,Albania,ALB,17052.7111141235,3170,3089027
2000,YR2000,Armenia,ARM,11308.5546638301,3560,3168523
2000,YR2000,Azerbaijan,AZE,8514.5850481194,27690,8048600
2000,YR2000,Belarus,BLR,19057.5172370309,52940,9979610
2000,YR2000,Bosnia and Herzegovina,BIH,25733.1344879352,13960,4179350
2000,YR2000,Bulgaria,BGR,29613.3479231933,43420,8170172
2000,YR2000,Georgia,GEO,11222.6979179719,4770,4077131
2000,YR2000,Kazakhstan,KAZ,23073.555921845,120150,14883626
2000,YR2000,Kosovo,XKX,..,..,1700000
2000,YR2000,Moldova,MDA,11882.8669819883,6710,2924668
2000,YR2000,Montenegro,MNE,44998.3376398303,1520,604950
2000,YR2000,North Macedonia,MKD,36773.95715034,8760,2026350
2000,YR2000,Russian Federation,RUS,32611.6493660651,1563850,146596869
2000,YR2000,Serbia,SRB,21441.7318215893,43990,7516346
2000,YR2000,Turkiye,TUR,47325.8737185928,216400,64113547
2000,YR2000,Turkmenistan,TKM,15390.2239760343,38510,4569132
2001,YR2001,Albania,ALB,18551.0617948587,3230,3060173
2001,YR2001,Armenia,ARM,12354.1742443258,3600,3133133
2001,YR2001,Azerbaijan,AZE,9308.03471701064,26400,8111200
2001,YR2001,Belarus,BLR,19618.6357222256,51880,9928549
2001,YR2001,Bosnia and Herzegovina,BIH,26475.381494733,13760,4194932
2001,YR2001,Bulgaria,BGR,31895.1247124464,46190,8009142
2001,YR2001,Georgia,GEO,11526.581935558,3520,4014373
2001,YR2001,Kazakhstan,KAZ,25463.7457577432,117440,14858335
2001,YR2001,Kosovo,XKX,..,..,1701154
2001,YR2001,Moldova,MDA,12805.9937268003,7020,2918135
2001,YR2001,Montenegro,MNE,45200.8580653014,1670,607389
2001,YR2001,North Macedonia,MKD,34634.4700541062,8920,2034882
2001,YR2001,Russian Federation,RUS,34194.0883774822,1567170,145976482
2001,YR2001,Serbia,SRB,23092.0662561042,45000,7503433
2001,YR2001,Turkiye,TUR,44690.39719095,197770,65072018
2001,YR2001,Turkmenistan,TKM,15557.5812234874,39120,4635094
2002,YR2002,Albania,ALB,19186.0374421565,3759.99999046326,3051010
2002,YR2002,Armenia,ARM,13919.6337155855,3119.99988555908,3105037
2002,YR2002,Azerbaijan,AZE,10130.5499283709,26180.0003051758,8171950
2002,YR2002,Belarus,BLR,20300.3045393802,51840.0001525879,9865548
2002,YR2002,Bosnia and Herzegovina,BIH,28107.8301915564,14560.0004196167,4198410
